죄종별(2),2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016
죄종별(2),00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59
살인기수,36,34,26,51,46,46,56,69,34,25,25,37,37,46,49,60,32,38,27,42,44,41,58,56,21,37,30,47,37,40,51,57,30,32,32,36,39,51,41,60
강도,381,594,136,135,169,155,228,349,277,399,109,143,101,158,159,270,249,297,86,92,120,115,142,204,232,262,79,105,97,91,145,184,147,200,78,71,103,86,136,142
강간·강제추행,2278,2675,1654,1073,1142,1423,1799,3248,2434,2725,1777,1256,1310,1711,2183,3626,2188,2446,1674,1211,1322,1736,2182,3367,2195,2453,1595,1285,1352,1716,2233,3301,2581,2613,1704,1362,1460,1888,2578,3762
방화,269,272,107,146,148,212,252,339,244,233,113,124,153,168,233,343,224,210,101,130,148,222,212,319,186,164,114,149,157,190,253,302,173,185,106,130,144,157,217,265
절도,23761,23392,20292,31732,32648,36720,45653,39745,23674,24309,19715,31528,33167,36569,44081,37964,21567,21195,17918,29081,30903,34679,40322,35015,19591,19544,16573,26273,29383,32602,35746,30550,15516,15827,13871,22842,26339,28529,29447,25121
폭행,18911,14228,6918,7942,8129,10848,16806,31950,18379,14321,6977,7846,8357,10509,16485,31658,18554,14265,7116,8492,8821,11249,17394,32167,20562,16200,8169,9794,9944,12511,19528,35870,22672,18194,9597,11261,11586,14027,21765,39182
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,2013,2014,2015,2016,Total,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00~02:59,45626,45042,42814,42787,41119,217388,0.117394582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:00~05:59,41195,42012,38451,38660,37051,197369,0.106583856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:00~08:59,29133,28716,26922,26560,25388,136719,0.073831444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00~11:59,41079,40934,39048,37653,35702,194416,0.104989167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00~14:59,42282,43125,41358,40970,39671,207406,0.11200407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00~17:59,49404,49161,48042,47150,44738,238495,0.128792854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00~20:59,64794,63190,60310,57956,54184,300434,0.162241356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00~23:59,75700,73921,71128,70264,68532,359545,0.194162672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
